"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12908","1","below_root","unclassified sequences","1","12908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"408169","12908","below_below_root","metagenomes","1","12908","408169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"410657","408169","below_below_below_root","ecological metagenomes","1","12908","408169","410657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","","","2","1783270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1802340","2","below_superkingdom","Nitrospinae/Tectomicrobia group","1","131567","","","2","1802340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","","","2","1783257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","","","2","1783272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","","","2","2323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783234","2323","below_below_superkingdom","Bacteria candidate phyla","1","131567","","","2","2323","1783234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","","","2","1783270","68336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798711","1783272","below_below_superkingdom","Cyanobacteria/Melainabacteria group","1","131567","","","2","1783272","1798711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1859062","1783272","below_below_superkingdom","unclassified Terrabacteria group","1","131567","","","2","1783272","1859062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95901","1783234","below_below_below_superkingdom","Candidatus Dependentiae","1","131567","","","2","2323","1783234","95901","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74243","1783234","below_below_below_superkingdom","Candidatus Dojkabacteria","1","131567","","","2","2323","1783234","74243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783273","1783234","below_below_below_superkingdom","Patescibacteria group","1","131567","","","2","2323","1783234","1783273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798534","1783234","below_below_below_superkingdom","candidate division Kazan-3B-28","1","131567","","","2","2323","1783234","1798534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794810","1783273","below_below_below_below_superkingdom","Microgenomates group","1","131567","","","2","2323","1783234","1783273","1794810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794811","1783273","below_below_below_below_superkingdom","Parcubacteria group","1","131567","","","2","2323","1783234","1783273","1794811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1104668","95901","below_below_below_below_superkingdom","unclassified Candidatus Dependentiae","1","131567","","","2","2323","1783234","95901","1104668","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794839","1794810","below_below_below_below_below_superkingdom","unclassified Microgenomates group","1","131567","","","2","2323","1783234","1783273","1794810","1794839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794840","1794811","below_below_below_below_below_superkingdom","unclassified Parcubacteria group","1","131567","","","2","2323","1783234","1783273","1794811","1794840","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57723","2","phylum","Acidobacteria","1","131567","","","2","","","","","","57723","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","","","2","1783272","","","","","201174","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200783","2","phylum","Aquificae","1","131567","","","2","","","","","","200783","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67819","1783272","phylum","Armatimonadetes","1","131567","","","2","1783272","","","","","67819","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","","","2","1783270","68336","","","","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1936987","2","phylum","Balneolaeota","1","131567","","","2","","","","","","1936987","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67814","2","phylum","Caldiserica","1","131567","","","2","","","","","","67814","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1930617","2","phylum","Calditrichaeota","1","131567","","","2","","","","","","1930617","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752730","1794810","phylum","Candidatus Amesbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752730","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1618330","1783234","phylum","Candidatus Berkelbacteria","1","131567","","","2","2323","1783234","","","","1618330","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"456828","1783270","phylum","Candidatus Cloacimonetes","1","131567","","","2","1783270","","","","","456828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752725","1794810","phylum","Candidatus Collierbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752725","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752717","1794810","phylum","Candidatus Curtissbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752717","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752718","1794810","phylum","Candidatus Daviesbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752718","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752728","1794811","phylum","Candidatus Falkowbacteria","1","131567","","","2","2323","1783234","1783273","1794811","","1752728","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752720","1794810","phylum","Candidatus Gottesmanbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752720","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752740","1794811","phylum","Candidatus Kuenenbacteria","1","131567","","","2","2323","1783234","1783273","1794811","","1752740","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752719","1794810","phylum","Candidatus Levybacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752719","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752731","1794811","phylum","Candidatus Magasanikbacteria","1","131567","","","2","2323","1783234","1783273","1794811","","1752731","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62680","1783270","phylum","Candidatus Marinimicrobia","1","131567","","","2","1783270","","","","","62680","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752737","1794811","phylum","Candidatus Moranbacteria","1","131567","","","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67812","1783257","phylum","Candidatus Omnitrophica","1","131567","","","2","1783257","","","","","67812","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752724","1794810","phylum","Candidatus Pacebacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752724","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1619053","1783234","phylum","Candidatus Peregrinibacteria","1","131567","","","2","2323","1783234","","","","1619053","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752723","1794810","phylum","Candidatus Roizmanbacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752723","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95818","1783234","phylum","Candidatus Saccharibacteria","1","131567","","","2","2323","1783234","","","","95818","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752732","1794811","phylum","Candidatus Uhrbacteria","1","131567","","","2","2323","1783234","1783273","1794811","","1752732","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752722","1794810","phylum","Candidatus Woesebacteria","1","131567","","","2","2323","1783234","1783273","1794810","","1752722","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
